first_activity_month,activity_month,months_since_first_activity,cohort_users,active_users,activity_retention_rate
2019-10-01,2019-10-01,0,399664,399664,1.0
2019-10-01,2019-11-01,1,399664,54796,0.1371051683414068
2019-10-01,2019-12-01,2,399664,36346,0.09094139076824533
2019-10-01,2020-01-01,3,399664,31750,0.07944173105408543
2019-10-01,2020-02-01,4,399664,26953,0.06743914888506346
2019-11-01,2019-11-01,0,313436,313436,1.0
2019-11-01,2019-12-01,1,313436,34347,0.10958217945609311
2019-11-01,2020-01-01,2,313436,21942,0.07000472185709364
2019-11-01,2020-02-01,3,313436,17424,0.05559029594558379
2019-12-01,2019-12-01,0,299461,299461,1.0
2019-12-01,2020-01-01,1,299461,27443,0.09164131556362932
2019-12-01,2020-02-01,2,299461,15609,0.05212364882238422
2020-01-01,2020-01-01,0,328938,328938,1.0
2020-01-01,2020-02-01,1,328938,33210,0.10096127537712274
2020-02-01,2020-02-01,0,297859,297859,1.0
