first_purchase_month,purchase_month,months_since_first_purchase,cohort_users,purchasing_users,purchase_events,purchase_revenue,purchase_retention_rate
2019-10-01,2019-10-01,0,25762,25762,245624,1212093.9900000005,1.0
2019-10-01,2019-11-01,1,25762,4763,71907,322846.22000000003,0.18488471391972672
2019-10-01,2019-12-01,2,25762,3293,38934,185846.14000000007,0.12782392671376447
2019-10-01,2020-01-01,3,25762,3399,45223,221819.12999999998,0.13193851409052093
2019-10-01,2020-02-01,4,25762,2692,36919,181351.55,0.10449499262479621
2019-11-01,2019-11-01,0,26761,26761,250510,1208662.7500000005,1.0
2019-11-01,2019-12-01,1,26761,2618,27207,126162.85999999999,0.09782893015956055
2019-11-01,2020-01-01,2,26761,2716,32523,152133.65000000008,0.1014909756735548
2019-11-01,2020-02-01,3,26761,2119,24673,118461.05000000005,0.07918239228728373
2019-12-01,2019-12-01,0,19702,19702,147035,766155.5300000006,1.0
2019-12-01,2020-01-01,1,19702,1678,17578,82199.79000000001,0.08516901837376915
2019-12-01,2020-02-01,2,19702,1272,13076,61366.71999999999,0.06456197340371536
2020-01-01,2020-01-01,0,20427,20427,168473,866541.6500000011,1.0
2020-01-01,2020-02-01,1,20427,1810,22396,97067.65,0.08860821461790767
2020-02-01,2020-02-01,0,17866,17866,144929,749121.6100000007,1.0
