brand,total_sessions,viewed_sessions,carted_after_view_sessions,purchased_after_cart_sessions,purchased_sessions,purchase_revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
unknown_brand,1798169,1692331,323072,42861,62867,2553573.989999999,0.19090355255561708,0.13266702159271,0.025326605729021096
runail,273233,254059,51445,6755,10747,462577.13000000024,0.20249233445774406,0.13130527748080476,0.026588312163710003
irisk,191610,178003,37028,4668,6874,293831.40000000014,0.20801896597248362,0.12606676028951064,0.02622427711892496
grattol,187413,175986,37321,4762,6554,282697.2700000001,0.2120680054095212,0.12759572358725652,0.027058970599934087
masura,142934,134771,26437,2802,3968,151445.0300000001,0.1961623791468491,0.10598782010061655,0.02079082295152518
uno,63353,58222,13206,1992,2883,136546.26000000007,0.22682147641784892,0.15084052703316675,0.03421387104530933
ingarden,64396,58889,15548,1873,2870,128478.43,0.2640221433544465,0.1204656547465912,0.03180560036679176
estel,127934,122029,18391,3200,4663,121262.06999999992,0.15071007711281745,0.17399815126964277,0.026223274795335535
jessnail,95547,93323,10605,1498,1976,120758.04000000001,0.11363758130364433,0.14125412541254126,0.016051777161042828
italwax,68913,64704,11011,2235,3355,104378.62999999998,0.17017495054401582,0.2029788393424757,0.03454191394658754
cnd,54376,51370,8632,1500,2244,102515.15000000005,0.16803581857115046,0.17377201112140872,0.029199922133540977
strong,27661,26972,2619,355,487,92528.04,0.09710069701913095,0.1355479190530737,0.013161797419546196
bpw.style,61126,57294,13460,1411,2010,85267.57000000004,0.23492861381645547,0.10482912332838039,0.02462736063113066
kapous,131072,126701,13486,2129,3016,69843.87999999999,0.10643957032699032,0.15786741806317664,0.01680334014727587
concept,79387,76205,10061,1739,2557,65473.87999999998,0.13202545764713602,0.17284564158632343,0.022820024932747197
domix,32226,29908,6550,949,1383,53659.759999999995,0.2190049485087602,0.14488549618320612,0.03173064063126923
bluesky,34624,32322,7348,848,1228,46548.280000000006,0.22733741723903222,0.11540555253130104,0.026236000247509435
beautix,18210,17010,4032,585,826,44197.020000000004,0.23703703703703705,0.14508928571428573,0.03439153439153439
cosmoprofi,28671,27009,6210,773,1026,43353.149999999994,0.2299233588803732,0.12447665056360709,0.028620089599763043
browxenna,23191,22171,3332,681,957,43274.78999999999,0.1502864101754544,0.20438175270108044,0.030715799918812865
haruyama,25695,23878,5297,588,884,42426.560000000005,0.22183599966496356,0.11100622994147631,0.024625177988106206
staleks,27652,26313,5151,801,1079,41669.39000000001,0.1957587504275453,0.1555037856726849,0.030441226770037622
zinger,29431,27914,4678,724,1051,41458.34,0.16758615748369993,0.15476699444206926,0.025936805903847532
pole,28585,26430,6686,698,970,40112.680000000015,0.2529701097237987,0.10439724798085552,0.026409383276579643
lianail,23621,22042,5122,575,818,39695.579999999994,0.23237455766264403,0.11226083561108942,0.026086562017965702
yoko,20833,19544,4203,690,983,38947.17,0.2150532132623823,0.16416845110635261,0.03530495292672943
lovely,23350,21471,4906,670,948,37432.079999999994,0.22849424805551674,0.13656746840603343,0.031204881002282147
max,12092,11754,1734,287,383,34679.509999999995,0.147524247064829,0.16551326412918108,0.02441721966989961
marathon,15950,15721,1354,172,228,33680.31,0.08612683671522167,0.12703101920236337,0.01094077984861014
oniq,23108,22329,4379,460,623,32972.67,0.19611267857942585,0.10504681434117379,0.020601012136683236
freedecor,29790,28525,5948,472,679,32431.739999999998,0.2085188431200701,0.07935440484196368,0.01654688869412796
nagaraku,22104,20091,4383,650,1000,32045.699999999986,0.21815738390324027,0.1483002509696555,0.03235279478373401
f.o.x,19567,18313,4313,460,678,30016.660000000003,0.23551575383607273,0.10665430095061443,0.025118768088243325
milv,26902,25242,4671,537,841,29169.600000000002,0.18504872830995958,0.11496467565831728,0.02127406703113858
polarus,13123,12796,1575,272,373,28446.22,0.12308533916849015,0.1726984126984127,0.021256642700844014
severina,14040,12584,2812,398,662,28065.42,0.2234583598219962,0.1415362731152205,0.031627463445645265
airnails,14860,13825,2714,363,564,27396.48,0.19631103074141049,0.1337509211495947,0.026256781193490054
pnb,18276,17403,3798,447,626,26312.709999999995,0.21823823478710566,0.11769352290679305,0.0256852266850543
metzger,18709,17829,3275,522,745,25171.479999999996,0.18368949464355824,0.15938931297709924,0.0292781423523473
kinetics,13194,12562,2483,330,480,25163.19,0.1976596083426206,0.13290374546919048,0.02626970227670753
smart,7170,6501,2037,381,561,22757.120000000006,0.3133364097831103,0.187039764359352,0.0586063682510383
sunuv,11908,11702,1148,208,258,20276.64,0.09810288839514612,0.18118466898954705,0.017774739360793025
uskusi,13120,12284,2768,277,421,19833.14,0.2253337675024422,0.10007225433526011,0.022549658091826765
