category_code,total_sessions,viewed_sessions,carted_after_view_sessions,purchased_after_cart_sessions,purchased_sessions,purchase_revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
unknown_category,4416991,4165872,773924,104084,152132,6152678.449999998,0.18577719142594876,0.1344886578010244,0.024984925124919826
appliances.environment.vacuum,55409,54042,6803,1080,1433,104159.87,0.12588357203656417,0.15875349110686462,0.019984456533807038
furniture.living_room.cabinet,15810,15577,1113,127,163,24902.66,0.07145149900494319,0.11410601976639713,0.008153046157796752
apparel.glove,9841,8844,2140,386,590,24760.649999999998,0.24197195838986885,0.18037383177570093,0.04364540931705111
stationery.cartrige,12939,11843,2189,482,814,21053.26,0.18483492358355147,0.22019186843307445,0.040699147175546735
furniture.bathroom.bath,7512,7225,1100,188,255,12751.059999999998,0.1522491349480969,0.1709090909090909,0.02602076124567474
accessories.bag,11298,11256,640,106,135,6894.370000000001,0.05685856432125089,0.165625,0.009417199715707179
appliances.personal.massager,1626,1604,167,24,29,1837.6399999999999,0.1041147132169576,0.1437125748502994,0.014962593516209476
appliances.personal.hair_cutter,2882,2853,157,21,29,1531.4,0.055029793200140203,0.1337579617834395,0.007360672975814932
accessories.cosmetic_bag,1186,1159,148,20,27,862.5500000000002,0.1276962899050906,0.13513513513513514,0.01725625539257981
appliances.environment.air_conditioner,282,270,32,6,7,207.93999999999997,0.11851851851851852,0.1875,0.022222222222222223
furniture.living_room.chair,163,154,17,2,3,190.44,0.11038961038961038,0.11764705882352941,0.012987012987012988
sport.diving,2,2,0,0,0,0.0,0.0,,0.0
